,day_of_week,Working time,Time,Chiller Electricity Rate,t_in,logprobs,actions,Thermostat,t_out,Equip,occ,light,results,rewards,baseline
0,2,FALSE,8/1/2018 0:12,0,23.924911,-1.6042997,7.956431389,30.95643139,25.1,0.41388822,0,0.039140865,0,-2,117957.7627
1,2,FALSE,8/1/2018 0:22,345402.7,23.73895,-1.2923843,3.018733978,26.01873398,25.2,0.41388822,0,0.039140865,-0.71,-2,127453.1283
2,2,FALSE,8/1/2018 0:32,357433.84,23.137472,-1.8829786,-2.927708387,20.07229161,25.3,0.41388822,0,0.039140865,-0.56,-2,139423.206
3,2,FALSE,8/1/2018 0:43,359624.06,23.080654,-1.3143485,2.692773104,25.6927731,25.4,0.41388822,0,0.039140865,-0.61,-2,137873.8483
4,2,FALSE,8/1/2018 0:50,363527.5,23.151697,-1.3433747,4.971395493,27.97139549,25.5,0.41388822,0,0.039140865,-1.56,-2,102252.9607
5,2,FALSE,8/1/2018 1:01,363197.53,23.174969,-1.5892231,-1.053832769,21.94616723,25.6,0.41388822,0,0.039140865,-1.14,-2,115844.9173
6,2,FALSE,8/1/2018 1:10,361399.8,23.151756,-1.6145108,-1.243623257,21.75637674,25.566668,0.41388822,0,0.039140865,-0.98,-2,121457.0162
7,2,FALSE,8/1/2018 1:22,0,23.873915,-1.6827161,-1.803165913,21.19683409,25.533333,0.41388822,0,0.039140865,0,-2,145363.6771
8,2,FALSE,8/1/2018 1:32,360498.8,23.739828,-2.889637,13.71923447,36.71923447,25.5,0.41388822,0,0.039140865,-0.39,-2,150901.2718
9,2,FALSE,8/1/2018 1:42,359825.22,23.480495,-1.4419856,6.452057362,29.45205736,25.466667,0.41388822,0,0.039140865,-0.22,-2,161881.8833
10,2,FALSE,8/1/2018 1:53,360435.06,23.292774,-1.9166428,9.882781029,32.88278103,25.433332,0.41388822,0,0.039140865,-0.46,-2,146548.7421
11,2,FALSE,8/1/2018 2:01,363897.12,23.174099,-1.3817875,5.68875885,28.68875885,25.4,0.41388822,0,0.039140865,-0.5,-2,145410.1213
12,2,FALSE,8/1/2018 2:10,362767.06,23.117157,-1.5517876,-0.733350754,22.26664925,25.366667,0.41388822,0,0.039140865,-0.96,-2,122634.7213
13,2,FALSE,8/1/2018 2:20,360649.28,23.09665,-1.5415373,7.443166733,30.44316673,25.333334,0.41388822,0,0.039140865,-1.14,-2,114829.7845
14,2,FALSE,8/1/2018 2:32,0,23.824183,-2.050593,10.4847126,33.4847126,25.3,0.41388822,0,0.039140865,0,-2,93144.55472
15,2,FALSE,8/1/2018 2:42,342010.88,23.74063,-1.9122106,9.814586639,32.81458664,25.266666,0.41388822,0,0.039140865,-1.92,-2,87274.48727
16,2,FALSE,8/1/2018 2:52,357733.7,23.113472,-1.3057817,3.057859898,26.0578599,25.233334,0.41388822,0,0.039140865,-3.24,-2,68210.31143
17,2,FALSE,8/1/2018 3:04,359078.28,23.03319,-1.3278105,2.163845062,25.16384506,25.2,0.41388822,0,0.039140865,-2.45,-2,80614.49191
18,2,FALSE,8/1/2018 3:10,361902.66,23.086075,-1.306025,2.959965229,25.95996523,25.166666,0.41388822,0,0.039140865,-3.08,-2,71270.28134
19,2,FALSE,8/1/2018 3:20,360303.06,23.100416,-1.3364648,4.949165344,27.94916534,25.133333,0.41388822,0,0.039140865,-3.17,-2,69695.68381
20,2,FALSE,8/1/2018 3:30,357864.94,23.074907,-1.4464478,6.566526413,29.56652641,25.1,0.41388822,0,0.039140865,-2.17,-2,85830.22938
21,2,FALSE,8/1/2018 3:42,0,23.792442,-1.3157041,1.989236951,24.98923695,25.066668,0.41388822,0,0.039140865,0,-2,76561.51982
22,2,FALSE,8/1/2018 3:52,332140.47,23.986284,-1.366498,0.933538914,23.93353891,25.033333,0.41388822,0,0.039140865,-2.11,-2,80781.26334
23,2,FALSE,8/1/2018 4:03,354817.44,23.152424,-1.3374205,5.05582428,28.05582428,25,0.41388822,0,0.039140865,-2.6,-2,77101.67384
24,2,FALSE,8/1/2018 4:13,356691.47,23.02042,-1.3252695,2.140367985,25.14036798,25.033333,0.41388822,0,0.039140865,-2,-2,89254.99676
25,2,FALSE,8/1/2018 4:20,360203.53,23.066833,-1.7676712,-2.249650002,20.75035,25.066668,0.41388822,0,0.039140865,-3.33,-2,67601.8441
26,2,FALSE,8/1/2018 4:30,359233.16,23.077353,-1.8253633,9.413406372,32.41340637,25.1,0.41388822,0,0.039140865,-3.2,-2,69106.36467
27,2,FALSE,8/1/2018 4:40,357354.47,23.045876,-2.9257522,-7.168399334,15.83160067,25.133333,0.41388822,0,0.039140865,-3.14,-2,69580.43607
28,2,FALSE,8/1/2018 4:52,0,23.79528,-4.0388474,16.7160244,39.7160244,25.166666,0.41388822,0,0.07828173,0,-2,89421.31998
29,2,FALSE,8/1/2018 5:03,342214.28,24.010473,-2.2587745,11.23326492,34.23326492,25.2,0.41388822,0,0.07828173,-1.29,-2,104160.5967
30,2,FALSE,8/1/2018 5:12,355354.3,23.177256,-1.3925618,6.000855446,29.00085545,25.266666,0.41388822,0,0.07828173,-1.12,-2,113731.2295
31,2,FALSE,8/1/2018 5:23,356930.5,23.052807,-1.7021817,-1.92920804,21.07079196,25.333334,0.41388822,0,0.07828173,-1.22,-2,110943.8126
32,2,FALSE,8/1/2018 5:30,360316.2,23.10771,-1.3756207,0.916419268,23.91641927,25.4,0.41388822,0,0.07828173,-0.89,-2,124787.8647
33,2,FALSE,8/1/2018 5:40,359425.3,23.123585,-2.6805687,-6.342975616,16.65702438,25.466667,0.41388822,0,0.07828173,0.8,-0.35,451898.1707
34,2,FALSE,8/1/2018 5:50,357698.8,23.108494,-1.3653703,1.742501259,24.74250126,25.533333,0.41388822,0.10162534,0.07828173,0.8,-0.3,446229.3779
35,2,FALSE,8/1/2018 6:01,356134.44,23.089256,-2.2072353,11.45211411,34.45211411,25.6,0.41388822,0.10162534,0.07828173,0.77,-0.55,464825.2308
36,2,FALSE,8/1/2018 6:10,356144.28,23.077238,-1.5062188,-0.130253077,22.86974692,25.783333,0.41388822,0.10162534,0.07828173,0.74,-0.75,479594.5544
37,2,FALSE,8/1/2018 6:20,356715.53,23.070663,-1.5780545,-0.798518419,22.20148158,25.966667,0.41388822,0.10162534,0.07828173,0.75,-0.7,478121.2607
38,2,FALSE,8/1/2018 6:30,356892.5,23.06498,-1.5594893,-0.641119242,22.35888076,26.15,0.41388822,0.10162534,0.07828173,0.76,-0.6,468343.2471
39,2,FALSE,8/1/2018 6:40,356186.66,23.05801,-1.3734204,5.098201275,28.09820127,26.333334,0.41388822,0.10162534,0.07828173,0.8,-0.3,445008.3567
