,day_of_week,Working time,Time,Energy_1,Energy_2,Energy_3,Energy_4,Energy_5,t_out,t_in,cooling_energy
4463,2,FALSE,8/1/2018 1:01,0,2594.4028,1692.5568,2598.1091,1768.376,26.1,24.999472,8653.444702
4464,2,FALSE,8/1/2018 0:10,0,2547.4856,1662.0421,2551.0112,1738.4602,26.016666,24.999493,8498.999146
4465,2,FALSE,8/1/2018 0:20,0,2518.5479,1642.0233,2521.6873,1718.8147,25.933332,24.999516,8401.07312
4466,2,FALSE,8/1/2018 0:30,0,2488.6519,1621.3866,2491.308,1698.4636,25.85,24.999533,8299.810181
4467,2,FALSE,8/1/2018 0:40,0,2458.1194,1600.2719,2460.068,1677.564,25.766666,24.99955,8196.023315
4468,2,FALSE,8/1/2018 0:50,0,2427.2402,1578.9734,2428.4265,1656.4176,25.683332,24.999563,8091.057739
4469,2,FALSE,8/1/2018 1:01,0,2395.8643,1557.3658,2396.212,1634.9025,25.6,24.999578,7984.344482
4470,2,FALSE,8/1/2018 1:10,0,2374.3188,1542.6608,2374.95,1620.2317,25.566668,24.999592,7912.161255
4471,2,FALSE,8/1/2018 1:20,0,2353.0537,1528.2955,2353.803,1605.883,25.533333,24.9996,7841.035278
4472,2,FALSE,8/1/2018 1:30,0,2332.5046,1514.4662,2333.4468,1592.0533,25.5,24.999607,7772.470947
4473,2,FALSE,8/1/2018 1:40,0,2312.5408,1501.0728,2313.687,1578.6437,25.466667,24.999615,7705.944214
4474,2,FALSE,8/1/2018 1:50,0,2293.2415,1488.1506,2294.5967,1565.6963,25.433332,24.999622,7641.685059
4475,2,FALSE,8/1/2018 2:01,0,2274.2893,1475.4819,2275.8574,1552.998,25.4,24.999628,7578.626709
4476,2,FALSE,8/1/2018 2:10,0,2254.411,1462.3801,2256.4905,1539.8915,25.366667,24.999636,7513.172974
4477,2,FALSE,8/1/2018 2:20,0,2234.6868,1449.4497,2237.375,1526.9597,25.333334,24.999643,7448.471191
4478,2,FALSE,8/1/2018 2:30,0,2215.205,1436.6809,2218.499,1514.193,25.3,24.999651,7384.578003
4479,2,FALSE,8/1/2018 2:40,0,2195.7583,1423.9282,2199.6462,1501.445,25.266666,24.999657,7320.77771
4480,2,FALSE,8/1/2018 2:50,0,2176.6035,1411.3391,2181.039,1488.8632,25.233334,24.999664,7257.844849
4481,2,FALSE,8/1/2018 3:01,0,2158.1262,1398.8955,2162.3674,1476.4298,25.2,24.999672,7195.81897
4482,2,FALSE,8/1/2018 3:10,0,2139.357,1386.7085,2144.4888,1464.2607,25.166666,24.99968,7134.814941
4483,2,FALSE,8/1/2018 3:20,0,2120.6384,1374.3135,2126.1116,1451.8741,25.133333,24.999687,7072.937622
4484,2,FALSE,8/1/2018 3:30,0,2101.4807,1361.5913,2107.2375,1439.1566,25.1,24.999695,7009.466187
4485,2,FALSE,8/1/2018 3:40,0,2081.9092,1348.7311,2087.928,1426.0018,25.066668,24.999704,6944.570068
4486,2,FALSE,8/1/2018 3:50,0,2062.08,1335.5793,2068.3508,1412.8298,25.033333,24.999712,6878.840088
4487,2,FALSE,8/1/2018 4:01,0,2042.024,1322.28,2048.5405,1399.5167,25,24.99972,6812.361328
4488,2,FALSE,8/1/2018 4:10,0,2041.2118,1321.3712,2047.7771,1398.4591,25.033333,24.999725,6808.819214
4489,2,FALSE,8/1/2018 4:20,0,2040.624,1320.5668,2047.1453,1397.498,25.066668,24.99973,6805.834106
4490,2,FALSE,8/1/2018 4:30,0,2040.1469,1319.6415,2046.5992,1396.7345,25.1,24.99973,6803.12207
4491,2,FALSE,8/1/2018 4:40,0,2039.7974,1318.9901,2046.168,1395.9946,25.133333,24.999731,6800.950073
4492,2,FALSE,8/1/2018 4:50,0,2153.5833,1386.0574,2159.8992,1462.2566,25.166666,24.999722,7161.796387
4493,2,FALSE,8/1/2018 5:01,0,2151.8018,1384.342,2157.3845,1460.4391,25.2,24.999697,7153.967407
4494,2,FALSE,8/1/2018 5:10,0,2158.529,1388.2214,2163.708,1464.2255,25.266666,24.999695,7174.68396
4495,2,FALSE,8/1/2018 5:20,0,2165.7698,1392.4518,2170.6052,1468.3384,25.333334,24.999693,7197.165161
