,Unnamed: 0,day_of_week,Working time,Time,Energy_1,Energy_2,Energy_3,Energy_4,Energy_5,t_out,t_in,cooling_energy,baseline,ratio
0,0,6,False,7/1/2018 0:01,0.0,4886.865,3043.9907,4874.5273,3184.2432,25.816668,21.998106,15989.62646,8152.064524507697,0.03857950192492943
1,0,6,False,7/1/2018 0:10,0.0,4886.865,3043.9907,4874.5273,3184.2432,25.816668,21.998106,15989.62646,8134.252410415383,0.03428444886633719
2,1,6,False,7/1/2018 0:23,0.0,380.09833,239.84247,375.84573,276.8032,26.033333,23.056067,1272.589722,8099.452080892306,0.15712047053185363
3,2,6,False,7/1/2018 0:33,0.0,178.0509,110.36554,176.25519,127.642204,26.25,24.177576,592.3138351,8058.523585984615,0.0735015327286691
4,3,6,False,7/1/2018 0:45,0.0,0.0,0.0,0.0,0.0,26.466667,24.432526,0.0,8018.347540630771,0.0
5,4,6,False,7/1/2018 0:50,0.0,379.74298,234.3342,374.65823,277.85916,26.683332,24.644604,1266.594574,7974.246738123077,0.1588356387249339
6,5,6,False,7/1/2018 1:01,0.0,0.0,0.0,0.0,276.1814,26.9,24.9216,276.1813965,7928.185561184614,0.034835385015727804
7,6,6,False,7/1/2018 1:10,0.0,755.5846,409.2017,707.6529,574.5795,26.916666,24.98396,2447.018707,7880.491125676924,0.31051601581364696
8,7,6,False,7/1/2018 1:20,0.0,634.12854,380.52417,617.99365,577.4498,26.933332,24.996666,2210.096191,7830.047585923077,0.2822583345436277
9,8,6,False,7/1/2018 1:30,0.0,783.04675,467.63303,756.5788,665.24457,26.95,24.99929,2672.503143,7774.010829600001,0.3437740442583753
10,9,6,False,7/1/2018 1:40,0.0,882.7722,537.25885,859.1564,727.5396,26.966667,24.999838,3006.727051,7725.501123138463,0.3891950830211679
11,10,6,False,7/1/2018 1:50,0.0,959.6398,590.4557,937.34467,777.0866,26.983334,24.99996,3264.526733,7668.553755076923,0.4257030513529019
12,11,6,False,7/1/2018 2:01,0.0,1024.3057,634.74713,1003.03906,818.6199,27.0,24.999992,3480.711731,7609.550278769232,0.45741359258920233
13,12,6,False,7/1/2018 2:10,0.0,1084.9547,675.81384,1064.6913,857.1414,27.033333,25.000006,3682.601257,7567.8612172923085,0.48661056952066983
14,13,6,False,7/1/2018 2:20,0.0,1138.4102,711.705,1119.1116,890.61,27.066668,25.000013,3859.836731,7526.028482676924,0.5128650177028162
15,14,6,False,7/1/2018 2:30,0.0,1185.6501,744.09863,1167.2811,918.9381,27.1,25.00002,4015.968018,7482.011100846152,0.5367498074876992
16,15,6,False,7/1/2018 2:40,0.0,1227.4651,771.9289,1209.9921,944.11304,27.133333,25.000023,4153.499084,7441.528404892307,0.558151344456248
17,16,6,False,7/1/2018 2:50,0.0,1264.6427,796.438,1248.0361,966.3445,27.166666,25.000025,4275.461304,7400.283654538461,0.5777428952169876
18,17,6,False,7/1/2018 3:01,0.0,1297.8606,818.2294,1282.0963,985.9935,27.2,25.000027,4384.17981,7358.893034584615,0.595766209590988
19,18,6,False,7/1/2018 3:10,0.0,1269.762,799.993,1255.1138,967.12463,27.066668,25.000023,4291.993347,7298.274767846151,0.588083277695866
20,19,6,False,7/1/2018 3:20,0.0,1239.4845,780.38184,1225.8732,947.11597,26.933332,25.000023,4192.855469,7237.520790707692,0.5793220621049184
21,20,6,False,7/1/2018 3:30,0.0,1208.2816,760.2535,1195.6863,926.7642,26.8,25.000023,4090.985596,7173.5114549230775,0.5702905225295787
22,21,6,False,7/1/2018 3:40,0.0,1176.3427,739.7196,1164.7571,906.1502,26.666666,25.000023,3986.969543,7115.2168564153835,0.5603440658881926
23,22,6,False,7/1/2018 3:50,0.0,1143.6627,718.7621,1133.0891,885.2316,26.533333,25.000023,3880.745544,7054.41355816923,0.5501159681099184
24,23,6,False,7/1/2018 4:01,0.0,1110.2195,697.35565,1100.6646,863.96893,26.4,25.000023,3772.208618,6992.894920553847,0.5394344775455651
25,24,6,False,7/1/2018 4:10,0.0,1124.706,706.15314,1114.4381,871.9622,26.383333,25.000027,3817.259521,6950.479730723078,0.5492080646069131
26,25,6,False,7/1/2018 4:20,0.0,1139.5171,713.9631,1127.9337,880.6087,26.366667,25.000027,3862.022583,6906.871583046154,0.5591565640918899
27,26,6,False,7/1/2018 4:30,0.0,1122.6089,704.5482,1113.2819,870.4607,26.35,25.000023,3810.899658,6858.334022846156,0.5556596755575498
28,27,6,False,7/1/2018 4:40,0.0,1128.543,709.2916,1120.8094,874.6361,26.333334,25.000023,3833.280151,6812.995863692308,0.5626423716808997
29,28,6,False,7/1/2018 4:50,0.0,1138.5859,715.5657,1130.7579,880.3776,26.316668,25.000023,3865.28717,7168.072022307693,0.5392366535898181
30,29,6,False,7/1/2018 5:01,0.0,1149.4843,722.39465,1141.5225,886.6674,26.3,25.000023,3900.068787,7111.31110086154,0.5484317493194053
31,30,6,False,7/1/2018 5:10,0.0,1130.4928,710.41534,1123.3773,874.8317,26.216667,25.000023,3839.117188,7076.889603169233,0.5424865164324075
32,31,6,False,7/1/2018 5:20,0.0,1108.8959,696.9619,1103.0359,861.4634,26.133333,25.000027,3770.357056,7046.358236830769,0.5350788207577406
33,32,6,False,7/1/2018 5:30,0.0,1085.3064,682.19183,1080.7072,846.6951,26.05,25.000032,3694.900513,7016.013821169231,0.5266381462721005
34,33,6,False,7/1/2018 5:40,0.0,1111.5764,693.3115,1096.53,855.86835,25.966667,25.00004,3757.286316,6999.4667075230755,0.5367960836161478
35,34,6,False,7/1/2018 5:50,0.0,1098.5352,718.01794,1102.243,845.2169,25.883333,25.00004,3764.013062,7166.570261692308,0.5252181900901602
36,35,6,False,7/1/2018 6:01,0.0,1082.3492,716.35095,1088.9564,832.60785,25.8,25.000042,3720.264465,7215.273031923076,0.5156096586421822
37,36,6,False,7/1/2018 6:10,0.0,1216.3218,812.46326,1225.7305,911.68695,26.033333,25.000051,4166.202454,7110.024775230769,0.5859617351143166
38,37,6,False,7/1/2018 6:20,0.0,1325.9032,881.87085,1329.5216,976.14685,26.266666,25.000042,4513.442505,9722.495083092306,0.46422677166985704
39,38,6,False,7/1/2018 6:30,0.0,1434.909,950.49133,1432.2961,1040.321,26.5,25.00003,4858.017578,7465.534055261537,0.6507260621999549
40,39,6,False,7/1/2018 6:40,0.0,1539.4069,1018.299,1531.2295,1103.158,26.733334,25.000015,5192.093323,9328.800841307697,0.5565659950643967
41,40,6,False,7/1/2018 6:50,0.0,1641.6473,1088.7006,1629.9059,1164.8047,26.966667,25.0,5525.058472,11291.33530278462,0.4893184308004239
42,41,6,False,7/1/2018 7:01,0.0,1746.6234,1178.0098,1737.9019,1227.6415,27.2,24.99998,5890.176514,11165.237272676926,0.527546022547517
43,42,6,False,7/1/2018 7:10,0.0,1725.0509,1172.9067,1714.7616,1212.0111,27.116667,24.999966,5824.730347,11179.765521676922,0.5210064858432122
44,43,6,False,7/1/2018 7:20,0.0,1699.2997,1162.5363,1686.4772,1193.3639,27.033333,24.999968,5741.677002,11212.95016161538,0.512057658265096
45,44,6,False,7/1/2018 7:30,0.0,1571.8323,1064.4868,1583.8862,1134.5438,26.95,24.999977,5354.749146,11251.418468323078,0.4759176952733212
46,45,6,False,7/1/2018 7:40,0.0,1526.4733,1034.4816,1538.8849,1106.197,26.866667,25.0,5206.036743,11304.654190015388,0.4605215387833914
47,46,6,False,7/1/2018 7:50,0.0,1484.7312,1007.623,1497.5685,1079.7842,26.783333,25.000013,5069.706848,20341.217337846152,0.2492332078163032
48,47,6,True,7/1/2018 8:01,0.0,1442.1576,980.1321,1454.8677,1052.6154,26.7,25.000023,4929.772705,20209.46073461539,0.2439339064874766
49,48,6,True,7/1/2018 8:10,0.0,1377.0916,931.3464,1387.903,1009.60565,26.516666,25.000021,4705.946533,19910.80437199999,0.23635140223756312
50,49,6,True,7/1/2018 8:20,0.0,1319.8403,888.96436,1329.0748,971.60913,26.333334,25.00002,4509.488647,19685.853199692305,0.22907255282542105
51,50,6,True,7/1/2018 8:30,0.0,1267.6613,851.78394,1276.4015,937.4007,26.15,25.000011,4333.247375,19520.585551076918,0.2219834729681529
52,51,6,True,7/1/2018 8:40,0.0,1221.2075,819.6356,1229.727,907.2281,25.966667,25.000006,4177.798279,19412.016026615383,0.21521712496383227
53,52,6,True,7/1/2018 8:50,0.0,1178.0099,790.43365,1186.4595,879.4069,25.783333,25.0,4034.309937,19328.83003738463,0.20871982055805172
54,53,6,True,7/1/2018 9:01,0.0,1136.61,762.65485,1145.0968,852.94415,25.6,24.999996,3897.305786,19267.700116769225,0.20227145753675424
55,54,6,True,7/1/2018 9:10,0.0,1246.995,831.91486,1254.3435,921.8979,25.866667,25.000004,4255.151245,19208.338279692307,0.22152625505865275
