,day_of_week,Working time,Time,Energy_1,Energy_2,Energy_3,Energy_4,Energy_5,t_out,t_in,cooling_energy
0,6,FALSE,7/1/2018 0:01,0,4886.865,3043.9907,4874.5273,3184.2432,25.816668,21.998106,15989.62646
0,6,FALSE,7/1/2018 0:10,0,4886.865,3043.9907,4874.5273,3184.2432,25.816668,21.998106,15989.62646
1,6,FALSE,7/1/2018 0:23,0,380.09833,239.84247,375.84573,276.8032,26.033333,23.056067,1272.589722
2,6,FALSE,7/1/2018 0:33,0,178.0509,110.36554,176.25519,127.642204,26.25,24.177576,592.3138351
3,6,FALSE,7/1/2018 0:45,0,0,0,0,0,26.466667,24.432526,0
4,6,FALSE,7/1/2018 0:50,0,379.74298,234.3342,374.65823,277.85916,26.683332,24.644604,1266.594574
5,6,FALSE,7/1/2018 1:01,0,0,0,0,276.1814,26.9,24.9216,276.1813965
6,6,FALSE,7/1/2018 1:10,0,755.5846,409.2017,707.6529,574.5795,26.916666,24.98396,2447.018707
7,6,FALSE,7/1/2018 1:20,0,634.12854,380.52417,617.99365,577.4498,26.933332,24.996666,2210.096191
8,6,FALSE,7/1/2018 1:30,0,783.04675,467.63303,756.5788,665.24457,26.95,24.99929,2672.503143
9,6,FALSE,7/1/2018 1:40,0,882.7722,537.25885,859.1564,727.5396,26.966667,24.999838,3006.727051
10,6,FALSE,7/1/2018 1:50,0,959.6398,590.4557,937.34467,777.0866,26.983334,24.99996,3264.526733
11,6,FALSE,7/1/2018 2:01,0,1024.3057,634.74713,1003.03906,818.6199,27,24.999992,3480.711731
12,6,FALSE,7/1/2018 2:10,0,1084.9547,675.81384,1064.6913,857.1414,27.033333,25.000006,3682.601257
13,6,FALSE,7/1/2018 2:20,0,1138.4102,711.705,1119.1116,890.61,27.066668,25.000013,3859.836731
14,6,FALSE,7/1/2018 2:30,0,1185.6501,744.09863,1167.2811,918.9381,27.1,25.00002,4015.968018
15,6,FALSE,7/1/2018 2:40,0,1227.4651,771.9289,1209.9921,944.11304,27.133333,25.000023,4153.499084
16,6,FALSE,7/1/2018 2:50,0,1264.6427,796.438,1248.0361,966.3445,27.166666,25.000025,4275.461304
17,6,FALSE,7/1/2018 3:01,0,1297.8606,818.2294,1282.0963,985.9935,27.2,25.000027,4384.17981
18,6,FALSE,7/1/2018 3:10,0,1269.762,799.993,1255.1138,967.12463,27.066668,25.000023,4291.993347
19,6,FALSE,7/1/2018 3:20,0,1239.4845,780.38184,1225.8732,947.11597,26.933332,25.000023,4192.855469
20,6,FALSE,7/1/2018 3:30,0,1208.2816,760.2535,1195.6863,926.7642,26.8,25.000023,4090.985596
